Employment and Wages Report (ES-202)
 Selection Criteria  Area Type : State Area : Massachusetts Year : 2015 Period : Annual Period Ownership Type : All Ownership Types Industry : Totals by Industry Sector NAICS code
Description,No. of Establishments,Number of Employees,,,,,,,,,,,,Total Wages,Average Monthly Employment,Average Weekly Wages,
,,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,,,,
"Total, All Industries","242,041","3,329,740","3,315,106","3,346,737","3,399,587","3,452,161","3,496,123","3,459,969","3,439,181","3,454,345","3,480,473","3,481,990","3,483,701","$228,652,523,427","3,428,259","$1,283",
"Natural Resources and Mining","1,107","6,062","5,913","6,394","7,845","8,910","9,670","9,986","10,006","9,798","9,760","8,537","7,926","$471,180,635","8,401","$1,079",
"11 - Agriculture, Forestry, Fishing and Hunting","1,012","5,215","5,084","5,549","6,877","7,888","8,630","8,921","8,954","8,742","8,709","7,505","6,906","$406,901,590","7,415","$1,055",
"21 - Mining, Quarrying, and Oil and Gas Extraction","95","847","829","845","968","1,022","1,040","1,065","1,052","1,056","1,051","1,032","1,020","$64,279,045","986","$1,254",
"Construction","20,088","135,299","130,496","132,770","143,960","152,575","157,081","160,075","160,396","157,303","158,603","157,344","154,628","$10,615,500,344","150,044","$1,361",
"23 - Construction","20,088","135,299","130,496","132,770","143,960","152,575","157,081","160,075","160,396","157,303","158,603","157,344","154,628","$10,615,500,344","150,044","$1,361",
"Manufacturing","6,962","247,989","247,835","248,479","248,886","249,520","251,799","250,777","250,486","248,311","248,149","248,278","248,533","$21,459,264,785","249,087","$1,657",
"DUR - Durable Goods Manufacturing","4,313","160,626","160,947","161,201","161,057","161,171","162,710","162,229","162,237","160,484","160,135","160,306","160,642","$14,967,084,025","161,145","$1,786",
"NONDUR -  Non-Durable Goods Manufacturing","2,649","87,363","86,888","87,278","87,829","88,349","89,089","88,548","88,249","87,827","88,014","87,972","87,891","$6,492,180,760","87,941","$1,420",
"Trade, Transportation and Utilities","43,470","590,283","577,964","580,545","586,838","594,199","603,778","599,951","599,575","595,649","600,197","609,001","616,728","$29,367,202,649","596,226","$947",
"22 - Utilities","475","14,136","14,134","14,142","14,243","14,278","14,444","14,304","14,345","14,226","14,251","14,300","14,350","$1,441,683,942","14,263","$1,944",
"42 - Wholesale Trade","14,369","122,292","121,608","121,942","123,287","123,846","124,971","125,584","125,397","124,303","124,602","124,502","124,669","$11,352,501,043","123,917","$1,762",
