Employment and Wages Report (ES-202)
 Selection Criteria  Area Type : State Area : Massachusetts Year : 2010 Period : Annual Period Ownership Type : All Ownership Types Industry : Totals by Industry Sector NAICS code
Description,No. of Establishments,Number of Employees,,,,,,,,,,,,Total Wages,Average Monthly Employment,Average Weekly Wages,
,,Jan 2010,Feb 2010,Mar 2010,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,,,,
"Total, All Industries","221,723","3,083,519","3,071,098","3,082,068","3,138,238","3,183,315","3,205,354","3,161,810","3,139,947","3,174,619","3,194,761","3,188,219","3,191,525","$182,179,734,119","3,151,206","$1,112",
"Natural Resources and Mining","1,049","6,044","5,904","6,472","7,917","8,354","8,825","9,228","9,120","8,689","8,406","7,545","6,930","$378,286,056","7,786","$934",
"11 - Agriculture, Forestry, Fishing and Hunting","948","5,135","5,027","5,558","6,804","7,157","7,656","8,128","8,025","7,611","7,347","6,498","5,928","$319,308,418","6,740","$911",
"21 - Mining, Quarrying, and Oil and Gas Extraction","101","909","877","914","1,113","1,197","1,169","1,100","1,095","1,078","1,059","1,047","1,002","$58,977,639","1,047","$1,083",
"Construction","20,449","106,978","103,153","105,364","114,131","119,630","123,957","127,613","126,894","125,031","124,020","122,185","118,001","$7,227,833,016","118,080","$1,177",
"23 - Construction","20,449","106,978","103,153","105,364","114,131","119,630","123,957","127,613","126,894","125,031","124,020","122,185","118,001","$7,227,833,016","118,080","$1,177",
"Manufacturing","7,454","251,789","250,800","251,154","251,976","253,267","255,480","255,739","255,866","255,070","256,239","256,401","256,277","$19,076,651,231","254,172","$1,443",
"DUR - Durable Goods Manufacturing","4,677","164,841","164,036","164,291","164,600","165,212","166,683","167,380","167,475","166,668","167,208","167,261","167,881","$13,920,448,090","166,128","$1,611",
"NONDUR -  Non-Durable Goods Manufacturing","2,777","86,948","86,764","86,863","87,376","88,055","88,797","88,359","88,391","88,402","89,031","89,140","88,396","$5,156,203,140","88,044","$1,126",
"Trade, Transportation and Utilities","44,034","567,133","557,385","558,156","564,878","571,329","578,554","575,833","575,458","572,173","579,476","586,275","596,298","$25,020,127,783","573,579","$839",
"22 - Utilities","417","13,881","13,851","13,819","14,128","14,235","14,382","14,308","14,292","14,200","14,162","14,150","14,169","$1,310,787,604","14,131","$1,784",
"42 - Wholesale Trade","15,179","121,501","121,010","121,255","121,742","122,837","123,855","124,340","124,276","122,995","124,004","123,902","124,082","$9,752,832,010","122,983","$1,525",
"Information","4,304","90,575","90,653","90,803","90,922","91,541","92,620","91,658","91,319","90,776","89,462","89,766","90,294","$8,016,640,307","90,866","$1,697",
"51 - Information","4,304","90,575","90,653","90,803","90,922","91,541","92,620","91,658","91,319","90,776","89,462","89,766","90,294","$8,016,640,307","90,866","$1,697",
"Financial Activities","16,429","208,699","208,029","207,798","207,742","208,799","210,369","211,673","211,464","208,390","207,898","207,173","208,129","$21,893,938,650","208,847","$2,016",
"52 - Finance and Insurance","9,948","169,983","169,483","169,389","168,654","168,824","169,227","169,953","169,964","168,075","168,175","167,924","168,872","$19,502,910,953","169,044","$2,219",
"53 - Real Estate and Rental and Leasing","6,481","38,716","38,546","38,409","39,088","39,975","41,142","41,720","41,500","40,315","39,723","39,249","39,257","$2,391,027,697","39,803","$1,155",
"Professional and Business Services","41,974","452,920","452,995","455,615","467,440","469,198","474,056","478,187","476,992","471,401","476,021","474,538","472,767","$37,623,754,261","468,511","$1,544",
"54 - Professional and Technical Services","29,223","251,729","252,286","252,265","252,884","250,708","252,224","254,352","253,777","250,566","253,213","253,964","256,333","$25,491,671,122","252,858","$1,939",
"55 - Management of Companies and Enterprises","1,228","57,714","57,480","57,702","57,817","57,622","58,028","58,142","58,071","57,964","57,669","57,660","57,915","$6,051,306,437","57,815","$2,013",
"56 - Administrative and Waste Services","11,523","143,477","143,229","145,648","156,739","160,868","163,804","165,693","165,144","162,871","165,139","162,914","158,519","$6,080,776,702","157,837","$741",
"Education and Health Services","20,529","846,518","857,024","859,868","860,454","861,268","849,652","783,079","770,464","847,400","862,553","867,451","868,229","$44,194,725,571","844,497","$1,006",
"61 - Educational Services","3,719","328,657","340,011","341,278","340,811","339,482","326,121","258,871","247,206","325,322","338,632","341,795","340,788","$17,066,004,318","322,415","$1,018",
