Employment and Wages Report (ES-202)
 Selection Criteria  Area Type : State Area : Massachusetts Year : 2011 Period : Annual Period Ownership Type : All Ownership Types Industry : Totals by Industry Sector NAICS code
Description,No. of Establishments,Number of Employees,,,,,,,,,,,,Total Wages,Average Monthly Employment,Average Weekly Wages,
,,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,,,,
"Total, All Industries","225,235","3,110,698","3,111,246","3,129,333","3,179,598","3,208,901","3,246,045","3,208,612","3,187,772","3,238,774","3,240,068","3,236,006","3,240,034","$190,599,431,794","3,194,757","$1,147",
"Natural Resources and Mining","1,081","5,821","5,795","6,437","7,648","8,378","8,991","9,426","9,674","9,354","8,779","7,835","7,130","$428,621,852","7,939","$1,038",
"11 - Agriculture, Forestry, Fishing and Hunting","981","4,947","4,960","5,595","6,643","7,302","7,896","8,351","8,602","8,281","7,724","6,792","6,137","$370,917,480","6,936","$1,028",
"21 - Mining, Quarrying, and Oil and Gas Extraction","100","874","835","842","1,005","1,076","1,095","1,075","1,072","1,073","1,055","1,043","993","$57,704,372","1,003","$1,106",
"Construction","20,753","108,045","105,185","107,029","116,661","122,683","128,023","131,935","132,319","130,367","128,794","127,088","123,288","$7,627,133,286","121,785","$1,204",
"23 - Construction","20,753","108,045","105,185","107,029","116,661","122,683","128,023","131,935","132,319","130,367","128,794","127,088","123,288","$7,627,133,286","121,785","$1,204",
"Manufacturing","7,431","251,986","251,161","252,166","253,465","253,979","256,169","256,174","256,259","254,615","254,527","254,186","254,455","$19,748,092,079","254,095","$1,495",
"DUR - Durable Goods Manufacturing","4,672","165,422","165,060","165,882","166,789","167,313","168,541","168,871","168,872","167,651","167,310","166,901","167,077","$14,534,939,610","167,141","$1,672",
"NONDUR -  Non-Durable Goods Manufacturing","2,759","86,564","86,101","86,284","86,676","86,666","87,628","87,303","87,387","86,964","87,217","87,285","87,378","$5,213,152,469","86,954","$1,153",
"Trade, Transportation and Utilities","44,449","571,067","563,866","563,973","569,840","574,346","581,923","579,579","579,463","578,619","583,152","590,875","599,252","$25,769,753,924","577,996","$857",
"22 - Utilities","418","14,134","14,042","14,021","14,070","14,112","14,178","14,219","14,093","14,022","13,971","14,006","14,015","$1,362,741,075","14,074","$1,862",
