Employment and Wages Report (ES-202)
 Selection Criteria  Area Type : State Area : Massachusetts Year : 2005 Period : Annual Period Ownership Type : All Ownership Types Industry : Totals by Industry Sector NAICS code
Description,No. of Establishments,Number of Employees,,,,,,,,,,,,Total Wages,Average Monthly Employment,Average Weekly Wages,
,,Jan 2005,Feb 2005,Mar 2005,Apr 2005,May 2005,Jun 2005,Jul 2005,Aug 2005,Sep 2005,Oct 2005,Nov 2005,Dec 2005,,,,
"Total, All Industries","207,788","3,083,999","3,090,997","3,099,290","3,154,736","3,185,542","3,225,572","3,156,789","3,142,565","3,200,740","3,191,678","3,200,053","3,209,229","$158,393,606,077","3,161,766","$963",
"Natural Resources and Mining","1,070","7,128","6,897","7,238","8,679","9,302","9,958","10,159","10,060","9,808","9,042","8,525","8,173","$396,341,362","8,747","$871",
"11 - Agriculture, Forestry, Fishing and Hunting","958","5,450","5,322","5,652","6,798","7,301","7,929","8,198","8,102","7,870","7,153","6,645","6,469","$303,620,678","6,907","$845",
"21 - Mining, Quarrying, and Oil and Gas Extraction","112","1,678","1,575","1,586","1,881","2,001","2,029","1,961","1,958","1,938","1,889","1,880","1,704","$92,720,684","1,840","$969",
"Construction","21,283","136,750","132,867","134,569","147,456","154,270","159,051","162,437","162,622","160,747","157,150","157,218","152,768","$8,008,770,855","151,492","$1,017",
"23 - Construction","21,283","136,750","132,867","134,569","147,456","154,270","159,051","162,437","162,622","160,747","157,150","157,218","152,768","$8,008,770,855","151,492","$1,017",
"Manufacturing","8,373","306,954","307,228","306,232","306,133","306,548","308,225","304,014","304,715","304,478","303,929","303,507","304,296","$19,095,332,811","305,522","$1,202",
"DUR - Durable Goods Manufacturing","5,202","200,343","200,779","200,112","200,115","200,079","201,234","199,206","199,462","199,591","198,977","198,879","199,855","$13,729,359,645","199,886","$1,321",
"NONDUR -  Non-Durable Goods Manufacturing","3,171","106,611","106,449","106,120","106,018","106,469","106,991","104,808","105,253","104,887","104,952","104,628","104,441","$5,365,973,166","105,636","$977",
"Trade, Transportation and Utilities","44,706","597,220","591,719","590,813","595,494","600,103","607,889","602,042","601,910","600,355","602,739","612,014","623,208","$24,122,143,115","602,126","$770",
