Employment and Wages Report (ES-202)
 Selection Criteria  Area Type : State Area : Massachusetts Year : 2014 Period : Annual Period Ownership Type : All Ownership Types Industry : Totals by Industry Sector NAICS code
Description,No. of Establishments,Number of Employees,,,,,,,,,,,,Total Wages,Average Monthly Employment,Average Weekly Wages,
,,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,,,,
"Total, All Industries","234,695","3,261,161","3,263,300","3,285,775","3,337,765","3,379,122","3,421,512","3,375,795","3,360,651","3,400,483","3,419,696","3,424,004","3,427,150","$215,550,547,339","3,363,035","$1,233",
"Natural Resources and Mining","1,099","6,071","5,982","6,371","7,671","8,620","9,329","9,711","9,897","9,611","9,117","7,937","7,477","$447,578,198","8,150","$1,056",
"11 - Agriculture, Forestry, Fishing and Hunting","1,004","5,268","5,194","5,561","6,762","7,658","8,340","8,705","8,894","8,621","8,103","6,952","6,542","$389,510,799","7,217","$1,038",
"21 - Mining, Quarrying, and Oil and Gas Extraction","95","803","788","810","909","962","989","1,006","1,003","990","1,014","985","935","$58,067,399","933","$1,197",
"Construction","19,660","126,182","123,667","125,096","133,841","141,712","146,499","149,847","149,807","147,651","148,126","147,345","143,998","$9,563,969,937","140,314","$1,311",
"23 - Construction","19,660","126,182","123,667","125,096","133,841","141,712","146,499","149,847","149,807","147,651","148,126","147,345","143,998","$9,563,969,937","140,314","$1,311",
"Manufacturing","7,044","250,077","249,198","249,643","249,759","250,340","252,266","251,281","251,659","249,823","250,257","250,696","251,403","$20,885,586,995","250,534","$1,603",
"DUR - Durable Goods Manufacturing","4,405","162,398","162,001","162,144","162,150","162,232","163,556","163,202","163,284","161,766","161,594","161,714","162,323","$14,938,156,400","162,364","$1,769",
"NONDUR -  Non-Durable Goods Manufacturing","2,639","87,679","87,197","87,499","87,609","88,108","88,710","88,079","88,375","88,057","88,663","88,982","89,080","$5,947,430,595","88,170","$1,297",
"Trade, Transportation and Utilities","43,455","582,406","574,634","575,651","581,657","588,285","596,627","590,622","580,784","590,692","596,245","606,578","616,527","$28,032,858,537","590,059","$914",
"22 - Utilities","473","14,248","14,541","14,383","14,234","14,336","14,537","14,526","14,511","14,453","14,572","14,598","14,616","$1,442,996,369","14,463","$1,919",
"42 - Wholesale Trade","14,486","122,206","122,048","122,412","123,418","124,095","125,154","125,482","125,347","124,406","124,672","124,926","125,136","$10,947,985,642","124,109","$1,696",
"Information","4,830","90,706","90,751","90,780","91,415","92,192","93,418","93,649","93,193","91,998","91,999","92,155","92,459","$9,085,530,388","92,060","$1,898",
"51 - Information","4,830","90,706","90,751","90,780","91,415","92,192","93,418","93,649","93,193","91,998","91,999","92,155","92,459","$9,085,530,388","92,060","$1,898",
"Financial Activities","16,514","206,349","206,364","206,503","207,228","209,030","212,002","213,209","213,189","209,982","209,840","209,982","210,665","$26,080,267,177","209,529","$2,394",
"52 - Finance and Insurance","9,908","165,419","165,480","165,502","165,238","165,722","167,244","168,068","168,221","166,225","166,211","166,806","167,493","$22,946,025,989","166,469","$2,651",
"53 - Real Estate and Rental and Leasing","6,606","40,930","40,884","41,001","41,990","43,308","44,758","45,141","44,968","43,757","43,629","43,176","43,172","$3,134,241,188","43,060","$1,400",
"Professional and Business Services","45,047","504,401","505,462","507,547","520,951","524,903","532,898","536,109","536,805","532,072","535,607","534,826","531,925","$48,096,389,027","525,292","$1,761",
