Employment and Wages Report (ES-202)
 Selection Criteria  Area Type : State Area : Massachusetts Year : 2013 Period : Annual Period Ownership Type : All Ownership Types Industry : Totals by Industry Sector NAICS code
Description,No. of Establishments,Number of Employees,,,,,,,,,,,,Total Wages,Average Monthly Employment,Average Weekly Wages,
,,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,,,,
"Total, All Industries","223,743","3,203,723","3,207,008","3,231,688","3,278,113","3,320,088","3,363,753","3,302,598","3,302,185","3,327,740","3,340,775","3,342,095","3,342,157","$203,829,757,217","3,296,827","$1,189",
"Natural Resources and Mining","1,056","5,993","5,775","6,312","7,627","8,597","9,163","9,555","9,657","9,301","8,918","7,784","7,069","$425,561,540","7,979","$1,026",
"11 - Agriculture, Forestry, Fishing and Hunting","967","5,235","5,028","5,526","6,755","7,680","8,229","8,611","8,698","8,344","7,956","6,855","6,170","$373,589,284","7,091","$1,013",
"21 - Mining, Quarrying, and Oil and Gas Extraction","89","758","747","786","872","917","934","944","959","957","962","929","899","$51,972,256","889","$1,124",
"Construction","18,515","120,232","118,180","120,071","127,710","135,304","139,912","143,339","143,806","141,206","140,496","138,286","134,172","$8,802,597,044","133,560","$1,267",
"23 - Construction","18,515","120,232","118,180","120,071","127,710","135,304","139,912","143,339","143,806","141,206","140,496","138,286","134,172","$8,802,597,044","133,560","$1,267",
"Manufacturing","7,000","249,584","249,082","249,659","249,676","250,510","253,001","251,623","252,012","250,799","250,281","250,262","250,884","$20,042,144,302","250,614","$1,538",
"DUR - Durable Goods Manufacturing","4,393","163,183","162,981","163,202","163,007","163,407","164,890","164,266","164,389","163,001","162,931","162,676","163,087","$14,496,501,796","163,418","$1,706",
"NONDUR -  Non-Durable Goods Manufacturing","2,607","86,401","86,101","86,457","86,669","87,103","88,111","87,357","87,623","87,798","87,350","87,586","87,797","$5,545,642,506","87,196","$1,223",
"Trade, Transportation and Utilities","42,064","576,201","567,521","568,727","573,953","580,965","590,849","584,885","585,674","583,811","586,153","595,476","604,294","$26,644,893,839","583,209","$879",
"22 - Utilities","451","13,800","13,763","13,722","13,437","13,507","13,750","13,546","13,517","13,632","13,754","13,818","13,879","$1,328,011,491","13,677","$1,867",
"42 - Wholesale Trade","13,812","121,456","121,361","121,796","122,616","123,130","124,358","124,872","124,810","123,928","124,488","124,436","124,574","$10,438,104,543","123,485","$1,626",
"Information","4,431","90,403","90,462","90,607","90,808","91,340","92,959","93,291","93,138","91,800","91,507","93,281","91,758","$8,571,114,060","91,780","$1,796",
"51 - Information","4,431","90,403","90,462","90,607","90,808","91,340","92,959","93,291","93,138","91,800","91,507","93,281","91,758","$8,571,114,060","91,780","$1,796",
"Financial Activities","16,093","205,236","205,420","205,863","205,738","207,153","210,015","210,613","211,238","207,761","207,457","207,454","208,230","$24,033,747,937","207,682","$2,225",
"52 - Finance and Insurance","9,682","165,316","165,523","165,699","164,828","165,249","166,599","166,666","167,226","164,814","164,851","165,411","165,914","$21,107,704,564","165,675","$2,450",
"53 - Real Estate and Rental and Leasing","6,411","39,920","39,897","40,164","40,910","41,904","43,416","43,947","44,012","42,947","42,606","42,043","42,316","$2,926,043,373","42,007","$1,340",
"Professional and Business Services","42,315","491,904","495,266","497,680","510,195","514,232","521,831","522,757","523,574","517,093","519,490","520,601","516,785","$45,307,295,833","512,617","$1,700",
"54 - Professional and Technical Services","29,263","274,626","276,870","277,420","278,794","276,831","279,171","281,594","281,194","277,685","279,339","280,918","282,345","$30,640,499,643","278,899","$2,113",
"55 - Management of Companies and Enterprises","1,339","63,343","63,196","63,468","63,785","64,091","65,044","64,975","64,830","64,686","64,549","64,569","65,031","$7,616,362,219","64,297","$2,278",
"56 - Administrative and Waste Services","11,713","153,935","155,200","156,792","167,616","173,310","177,616","176,188","177,550","174,722","175,602","175,114","169,409","$7,050,433,972","169,421","$800",
"Education and Health Services","48,330","916,047","930,404","936,676","938,463","937,434","926,425","857,694","854,256","924,829","940,978","946,673","950,359","$49,529,666,136","921,687","$1,033",
"61 - Educational Services","4,072","339,000","355,527","356,391","359,453","356,475","341,410","272,904","270,063","340,636","355,613","359,689","357,480","$19,061,466,814","338,720","$1,082",
"62 - Health Care and Social Assistance","44,258","577,047","574,877","580,285","579,010","580,959","585,015","584,790","584,193","584,193","585,365","586,984","592,879","$30,468,199,323","582,966","$1,005",
"Leisure and Hospitality","19,812","307,054","304,604","313,409","328,684","345,794","366,884","373,865","375,794","354,070","348,833","334,573","329,935","$7,827,565,288","340,292","$442",
"71 - Arts, Entertainment, and Recreation","3,565","47,293","45,764","48,246","52,350","57,208","66,164","72,576","73,598","60,805","59,939","53,736","52,777","$2,027,918,913","57,538","$678",
"72 - Accommodation and Food Services","16,247","259,761","258,840","265,163","276,334","288,586","300,720","301,289","302,196","293,265","288,894","280,837","277,158","$5,799,646,375","282,754","$394",
"Other Services","20,155","108,301","108,010","109,742","111,044","112,140","114,922","116,115","115,242","111,592","111,879","111,954","112,344","$3,708,162,361","111,940","$637",
"81 - Other Services, Except Public Administration","20,155","108,301","108,010","109,742","111,044","112,140","114,922","116,115","115,242","111,592","111,879","111,954","112,344","$3,708,162,361","111,940","$637",
"Public Administration","3,972","132,768","132,284","132,942","134,215","136,619","137,792","138,861","137,794","135,478","134,783","135,751","136,327","$8,937,008,876","135,468","$1,269",
"92 - Public Administration","3,972","132,768","132,284","132,942","134,215","136,619","137,792","138,861","137,794","135,478","134,783","135,751","136,327","$8,937,008,876","135,468","$1,269",
