Employment and Wages Report (ES-202)
 Selection Criteria  Area Type : State Area : Massachusetts Year : 2007 Period : Annual Period Ownership Type : All Ownership Types Industry : Totals by Industry Sector NAICS code
Description,No. of Establishments,Number of Employees,,,,,,,,,,,,Total Wages,Average Monthly Employment,Average Weekly Wages,
,,Jan 2007,Feb 2007,Mar 2007,Apr 2007,May 2007,Jun 2007,Jul 2007,Aug 2007,Sep 2007,Oct 2007,Nov 2007,Dec 2007,,,,
"Total, All Industries","211,843","3,166,005","3,161,591","3,177,485","3,217,617","3,259,249","3,309,572","3,231,331","3,223,270","3,266,843","3,269,542","3,274,331","3,276,575","$178,834,869,493","3,236,118","$1,063",
"Natural Resources and Mining","1,036","6,253","6,074","6,920","8,028","8,700","9,491","9,363","9,255","8,801","8,409","7,842","7,389","$382,828,585","8,044","$915",
"11 - Agriculture, Forestry, Fishing and Hunting","933","4,898","4,811","5,586","6,551","7,086","7,807","7,750","7,662","7,218","6,913","6,360","6,012","$301,053,078","6,555","$883",
"21 - Mining, Quarrying, and Oil and Gas Extraction","103","1,355","1,263","1,334","1,477","1,614","1,684","1,613","1,593","1,583","1,496","1,482","1,377","$81,775,507","1,489","$1,056",
"Construction","21,535","138,290","133,118","135,386","143,504","152,074","157,602","159,432","159,544","157,112","155,241","152,993","147,035","$8,696,477,563","149,278","$1,120",
"23 - Construction","21,535","138,290","133,118","135,386","143,504","152,074","157,602","159,432","159,544","157,112","155,241","152,993","147,035","$8,696,477,563","149,278","$1,120",
"Manufacturing","7,937","296,712","296,342","295,621","294,985","295,667","298,201","294,385","295,775","294,743","293,375","293,475","293,890","$20,556,618,882","295,264","$1,339",
"DUR - Durable Goods Manufacturing","4,962","196,339","196,145","195,654","194,978","195,237","197,008","194,833","195,495","194,682","194,068","194,033","194,610","$14,821,561,357","195,257","$1,460",
"NONDUR -  Non-Durable Goods Manufacturing","2,975","100,373","100,197","99,967","100,007","100,430","101,193","99,552","100,280","100,061","99,307","99,442","99,280","$5,735,057,525","100,007","$1,103",
"Trade, Transportation and Utilities","44,510","598,779","588,043","589,732","592,093","600,117","609,984","603,274","601,700","601,274","606,325","617,952","625,838","$25,831,120,601","602,926","$824",
"22 - Utilities","372","13,274","13,214","13,266","13,255","13,361","13,529","13,462","13,428","13,292","13,316","13,354","13,333","$1,126,948,282","13,340","$1,625",
"42 - Wholesale Trade","15,847","136,497","136,191","136,728","137,124","137,772","139,447","139,487","139,426","138,357","138,849","138,835","139,146","$10,327,565,944","138,155","$1,438",
"Information","4,036","92,555","92,829","93,776","94,015","93,559","94,402","95,014","94,973","94,761","93,547","93,286","93,824","$7,491,064,906","93,878","$1,535",
"51 - Information","4,036","92,555","92,829","93,776","94,015","93,559","94,402","95,014","94,973","94,761","93,547","93,286","93,824","$7,491,064,906","93,878","$1,535",
"Financial Activities","17,113","225,367","225,281","225,352","225,383","226,338","229,022","229,480","229,402","225,544","224,257","223,810","224,754","$23,619,035,508","226,166","$2,008",
"52 - Finance and Insurance","10,139","182,773","182,687","182,663","182,255","182,272","183,448","183,666","183,667","181,542","180,705","180,822","181,706","$21,141,399,097","182,351","$2,230",
