Employment and Wages Report (ES-202)
 Selection Criteria  Area Type : State Area : Massachusetts Year : 2006 Period : Annual Period Ownership Type : All Ownership Types Industry : Totals by Industry Sector NAICS code
Description,No. of Establishments,Number of Employees,,,,,,,,,,,,Total Wages,Average Monthly Employment,Average Weekly Wages,
,,Jan 2006,Feb 2006,Mar 2006,Apr 2006,May 2006,Jun 2006,Jul 2006,Aug 2006,Sep 2006,Oct 2006,Nov 2006,Dec 2006,,,,
"Total, All Industries","208,860","3,121,843","3,120,537","3,141,908","3,184,064","3,214,536","3,265,216","3,189,787","3,178,891","3,232,020","3,233,591","3,237,415","3,248,088","$167,653,025,999","3,197,325","$1,008",
"Natural Resources and Mining","1,049","6,565","6,625","7,064","8,450","8,895","9,385","9,643","9,708","9,424","8,936","8,045","7,808","$378,403,167","8,379","$868",
"11 - Agriculture, Forestry, Fishing and Hunting","944","5,039","5,082","5,495","6,724","7,099","7,577","7,772","7,878","7,598","7,173","6,301","6,192","$286,168,535","6,661","$826",
"21 - Mining, Quarrying, and Oil and Gas Extraction","105","1,526","1,543","1,569","1,726","1,796","1,808","1,871","1,830","1,826","1,763","1,744","1,616","$92,234,631","1,718","$1,032",
"Construction","21,472","141,314","138,664","141,280","151,919","156,110","160,386","162,046","162,239","158,861","156,425","153,369","149,555","$8,382,514,983","152,681","$1,056",
"23 - Construction","21,472","141,314","138,664","141,280","151,919","156,110","160,386","162,046","162,239","158,861","156,425","153,369","149,555","$8,382,514,983","152,681","$1,056",
"Manufacturing","8,106","300,303","300,054","299,980","299,652","300,001","302,256","298,574","299,092","298,855","297,804","297,382","298,238","$19,547,412,663","299,349","$1,256",
"DUR - Durable Goods Manufacturing","5,036","197,018","197,054","196,826","197,029","197,163","198,561","196,319","196,055","196,293","195,248","195,089","195,783","$14,028,411,172","196,537","$1,373",
"NONDUR -  Non-Durable Goods Manufacturing","3,070","103,285","103,000","103,154","102,623","102,838","103,695","102,255","103,037","102,562","102,556","102,293","102,455","$5,519,001,491","102,813","$1,032",
"Trade, Transportation and Utilities","44,342","598,566","587,522","589,982","593,601","597,733","606,653","600,353","600,438","600,624","604,142","614,387","624,059","$25,142,501,156","601,505","$804",
"22 - Utilities","375","12,847","12,829","12,808","12,869","12,901","13,068","13,051","13,115","13,039","13,028","13,067","13,119","$1,042,724,708","12,978","$1,545",
"42 - Wholesale Trade","15,508","135,338","135,019","135,510","136,127","136,393","137,949","137,820","138,109","137,248","137,341","137,363","137,857","$9,956,848,560","136,840","$1,399",
"Information","4,031","92,391","92,327","92,430","91,944","92,678","93,865","93,702","94,193","93,340","93,010","93,658","94,389","$7,223,641,707","93,161","$1,491",
"51 - Information","4,031","92,391","92,327","92,430","91,944","92,678","93,865","93,702","94,193","93,340","93,010","93,658","94,389","$7,223,641,707","93,161","$1,491",
